Symbol, TimeStamp,  QuoteTimeStamp, SequenceNumber, BidTimeStamp,Bid, BidSize,  BidExchange, AskTimeStamp, Ask, AskSize, AskExchange,BidVol,MidVol,AskVol,Delta,EstDelta,Gamma,Rho,Vega,Theta,UnderlierBid,UnderlierAsk,ForwardPrice,Borrow,Reserved1,Reserved2,WMP,PFE
SPY   160527C00177500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770077,5/26/2016 8:44:54 AM,31.99,15,C,5/26/2016 8:44:57 AM,32.27,15,C,0,0,1.39011,0.98001,0.98001,0.00279,0.00404,0.00612,-0.12429,209.64,209.64999,209.64517,0.00017,32.145,-0.015,0,0,
SPY   160527C00178000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770033,5/26/2016 8:44:54 AM,31.49,15,C,5/26/2016 8:44:57 AM,31.77,15,C,0,0,1.36999,0.97973,0.97973,0.00286,0.00397,0.00607,-0.12421,209.64,209.64999,209.64517,0.00017,31.645,-0.015,0,0,
SPY   160527C00178500,5/26/2016 8:45:00 AM,5/26/2016 8:44:53 AM,3759425,5/26/2016 8:44:52 AM,30.99,10,C,5/26/2016 8:44:48 AM,31.24,30,M,0,0,1.33166,0.9807,0.9807,0.00282,0.00423,0.0054,-0.11436,209.62,209.63,209.62517,0.00017,31.125,-0.01,0,0,
SPY   160527C00179000,5/26/2016 8:45:00 AM,5/26/2016 8:44:53 AM,3759419,5/26/2016 8:44:52 AM,30.49,10,C,5/26/2016 8:44:48 AM,30.74,30,M,0,0,1.31217,0.9804,0.9804,0.0029,0.0042,0.00615,-0.11433,209.62,209.63,209.62517,0.00017,30.625,-0.01,0,0,
SPY   160527C00179500,5/26/2016 8:45:00 AM,5/26/2016 8:44:37 AM,3712876,5/26/2016 8:44:36 AM,29.96,20,M,5/26/2016 8:44:36 AM,30.24,20,M,0,0,1.29184,0.98015,0.98015,0.00298,0.00422,0.00596,-0.1144,209.62,209.63,209.62517,0.00017,30.125,-0.025,0,0,
SPY   160527C00180000,5/26/2016 8:45:00 AM,5/26/2016 8:44:53 AM,3759412,5/26/2016 8:44:52 AM,29.49,10,C,5/26/2016 8:44:37 AM,29.74,30,M,0,0,1.27204,0.97987,0.97987,0.00306,0.00416,0.006,-0.11427,209.62,209.63,209.62517,0.00017,29.625,-0.01,0,0,
SPY   160527C00180500,5/26/2016 8:45:00 AM,5/26/2016 8:44:37 AM,3712829,5/26/2016 8:44:36 AM,28.96,15,C,5/26/2016 8:44:36 AM,29.24,20,M,0,0,1.25184,0.97959,0.97959,0.00315,0.00418,0.00597,-0.11428,209.62,209.63,209.62517,0.00017,29.125,-0.025,0,0,
SPY   160527C00181000,5/26/2016 8:45:00 AM,5/26/2016 8:44:53 AM,3759417,5/26/2016 8:44:52 AM,28.49,10,C,5/26/2016 8:44:37 AM,28.74,30,M,0,0,1.2322,0.97929,0.97929,0.00324,0.00422,0.00659,-0.11433,209.62,209.63,209.62517,0.00017,28.625,-0.01,0,0,
SPY   160527C00181500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775862,5/26/2016 8:44:58 AM,27.99,30,M,5/26/2016 8:44:58 AM,28.27,20,M,0,0,1.24358,0.97639,0.97639,0.00358,0.00448,0.0068,-0.13426,209.63,209.64,209.63516,0.00017,28.135,-0.005,0,0,
SPY   160527C00182000,5/26/2016 8:45:00 AM,5/26/2016 8:44:37 AM,3712931,5/26/2016 8:44:36 AM,27.46,15,C,5/26/2016 8:44:36 AM,27.74,20,M,0,0,1.19206,0.9787,0.9787,0.00343,0.00475,0.00639,-0.11433,209.62,209.63,209.62517,0.00017,27.625,-0.025,0,0,
